id;valor;data;tipo_movimento;usuario;descricao
1;22693;2020-10-03T00:10:38;SAIDA;neutral infrastructures Connecticut;Steel Factors
2;25889;2020-10-03T03:55:34;SAIDA;Mali Phased;Home Loan Account teal Granite
3;974;2020-10-03T19:11:47;SAIDA;Officer solid state Gorgeous;Agent
4;84077;2020-10-03T19:15:12;ENTRADA;calculating navigate;Legacy
5;81287;2020-10-03T13:45:17;SAIDA;holistic;portal Indiana
6;90216;2020-10-03T19:33:00;ENTRADA;indexing reboot convergence;hack Monitored Beauty
7;30055;2020-10-03T08:24:00;ENTRADA;zero administration paradigms;e-tailers monitoring
8;87347;2020-10-03T06:36:56;SAIDA;North Carolina generating;invoice mesh
9;16582;2020-10-03T10:04:11;SAIDA;e-business;bluetooth Cambridgeshire
10;55558;2020-10-03T14:21:08;SAIDA;Tools Iowa evolve;Somalia
